elevation,year,temp_media_anual
high,1971,9.018232849384198
high,1972,8.953389889183507
high,1973,10.143604395495304
high,1974,10.351759301256093
high,1975,9.405176017284134
high,1976,8.642088291670387
high,1977,9.332644811235557
high,1978,9.248441662939353
high,1979,9.509780952490912
high,1980,9.4032157670611891
high,1981,10.800398252581743
high,1982,10.127717617767027
high,1983,11.452234854295703
high,1984,9.66782073305664
high,1985,11.24530241772144
high,1986,10.854122971728431
high,1987,11.07914891761943
high,1988,10.722971681603719
high,1989,10.909487647216132
high,1990,10.848180853703196
high,1991,10.622969612471426
high,1992,10.339775666774715
high,1993,9.9392873195229
high,1994,12.02926074703353
high,1995,11.617482087069181
high,1996,9.954967341363721
high,1997,10.881170150902527
high,1998,11.46483472483042
high,1999,11.680072638673037
high,2000,11.463631210241775
high,2001,11.611402341065865
high,2002,11.471333031517611
high,2003,10.918695610486727
high,2004,10.709015894424132
high,2005,10.801070628407329
high,2006,10.938305012900628
high,2007,10.516310003636459
high,2008,10.213139755881796
high,2009,11.438540220680478
high,2010,10.545627886639096
high,2011,10.748061654601353
high,2012,11.03525970779266
high,2013,10.133609678617324
high,2014,10.978698953473964
high,2015,11.445542920609466
high,2016,10.927452023600905
high,2017,11.746258164799455
high,2018,10.054722864783672
high,2019,11.195967573394876
high,2020,11.65866440485301
high,2021,11.350276332825512
high,2022,13.004258116801072
low,1971,10.881320409386724
low,1972,10.824239199344166
low,1973,11.822560814203227
low,1974,11.956486828947636
low,1975,11.235875263214837
low,1976,10.586353214792751
low,1977,11.225990789510973
low,1978,11.25133351913052
low,1979,11.452104451689946
low,1980,11.25794417391156
low,1981,12.474895201924165
low,1982,11.88622725781806
low,1983,12.993564716283519
low,1984,11.44668791548031
low,1985,12.884757096067554
low,1986,12.474209555061377
low,1987,12.749591821416281
low,1988,12.501948460145464
low,1989,12.765488983358171
low,1990,12.689291002053082
low,1991,12.300174727824484
low,1992,12.021859865346014
low,1993,11.690518280287133
low,1994,13.540427705834807
low,1995,13.263756731245858
low,1996,11.679429853222208
low,1997,12.572742415039862
low,1998,12.925470268139778
low,1999,13.110641792619074
low,2000,13.01522014149139
low,2001,13.173413018206626
low,2002,12.975618129072632
low,2003,12.59751310859348
low,2004,12.373568105499684
low,2005,12.38112070431211
low,2006,12.685640373158614
low,2007,12.245606777442598
low,2008,12.036625565281044
low,2009,13.044148578373854
low,2010,12.224121545619749
low,2011,12.555866294802884
low,2012,12.776128717324205
low,2013,11.915138417391091
low,2014,12.85915817389216
low,2015,13.211183591262321
low,2016,12.819316999262641
low,2017,13.39665498115314
low,2018,11.974613576569796
low,2019,12.976694844712975
low,2020,13.354528797447117
low,2021,13.11977485969953
low,2022,14.500932233782446
medium,1971,10.076938509151313
medium,1972,10.019445211349367
medium,1973,11.082210037733917
medium,1974,11.254911362101453
medium,1975,10.448010912960557
medium,1976,9.73168133921276
medium,1977,10.423908904899356
medium,1978,10.391817083027208
medium,1979,10.608699762144212
medium,1980,10.437066429340401
medium,1981,11.7481257882293
medium,1982,11.114527337301627
medium,1983,12.318592875042638
medium,1984,10.678120832081825
medium,1985,12.191585556987704
medium,1986,11.788302609642132
medium,1987,12.036771309798851
medium,1988,11.746065383762646
medium,1989,11.964171474676196
medium,1990,11.90025443227378
medium,1991,11.585188850059428
medium,1992,11.300874125583832
medium,1993,10.949837744897836
medium,1994,12.916971166478625
medium,1995,12.558727277727538
medium,1996,10.930260720334168
medium,1997,11.84970957745025
medium,1998,12.313403257876978
medium,1999,12.50766464609788
medium,2000,12.363584548930572
medium,2001,12.537680025746369
medium,2002,12.363737988101674
medium,2003,11.899402197810923
medium,2004,11.668326600130678
medium,2005,11.696242180213865
medium,2006,11.950459385292255
medium,2007,11.52601048741387
medium,2008,11.260482240982281
medium,2009,12.359884001446995
medium,2010,11.491946684531507
medium,2011,11.793328218392208
medium,2012,12.067552997821174
medium,2013,11.157538241176393
medium,2014,12.081263605299865
medium,2015,12.508149326567207
medium,2016,12.037597556607802
medium,2017,12.691850687067811
medium,2018,11.186283457725184
medium,2019,12.22612598326326
medium,2020,12.655985442129221
medium,2021,12.371729376683053
medium,2022,13.863832105645844
